X,Y,YEAR,COUNTRY,RAT_ID,NAME,FNAME
100.4507603,24.62493821,1995,China,4,Manwan,5117
102.5675639,18.53989498,1972,Laos,5,Nam Ngum,Nam_Ngum_1
102.9425165,18.44217036,2000,Laos,6,Nam Leuk,5148
103.7020176,17.25973999,1973,Thailand,7,Nam Oun,5143
104.1872284,17.19425225,-99,Thailand,8,Nong Han Lake,5147
103.9754801,16.9691723,1965,Thailand,9,Nam Pung,5148
102.6046993,16.76007211,1966,Thailand,10,Ubol Ratana,Ubol_Ratana
103.4481229,16.62299539,1969,Thailand,11,Lam Pao,Lam_Pao
101.6347813,16.53830191,1972,Thailand,12,Chulabhorn,5151
101.796096,16.42126367,1982,Thailand,13,Huai Kum,5152
102.498441,15.07269351,1992,Thailand,14,Lam Chang Han,5155
101.5175736,14.80422418,1969,Thailand,15,Lamtakhong,5156
101.7978403,14.54785232,1967,Thailand,16,Lamphraphloeng,5160
102.7700643,14.27661434,1982,Thailand,17,Lamnangrong,5162
105.4483534,15.27003477,1990,Thailand,18,Pak Mun,5795
105.3854257,15.15715588,1971,Thailand,19,Sirindhorn,Sirindhorn
106.7897955,15.02815905,1999,Laos,20,Houayho,5797
104.9611905,17.93497041,2010,Laos,21,Nakai,Nam_Theun_2
102.7830501,18.34198487,2004,Laos,22,Nam Mang 3,7000
102.77845,18.75985442,2011,Laos,23,Nam Ngum 2,7001
102.6159705,19.35264632,2012,Laos,24,Nam Ngum 5,7002
107.1697285,14.96725612,2015,Laos,25,Xe Kaman 1,Xe_Kaman_1
107.3603277,15.42489295,2013,Laos,26,Xe Kaman 3,7004
100.3702925,24.02927014,2002,China,27,Dachaoshan,7037
107.9293503,12.5281435,2009,Vietnam,28,Buon Kuop,7159
107.9386005,13.0442596,2004,Vietnam,29,Ea Soup Thuong,7164
100.762448,22.05525983,2009,China,30,Jinghong,7181
107.8709223,14.42306985,2006,Vietnam,31,Plei Krong,7201
107.505248,13.97387422,2008,Vietnam,32,Se San IV,Sesan_4
100.426835,22.64518474,2014,China,33,Nuozhadu,7232
100.0940414,24.70969799,2012,China,34,Xiaowan,7284
106.2732291,13.55672749,2017,Cambodia,35,Lower Sesan II,7303
106.2642594,12.50842278,0,Cambodia,2,Phumi Svay Chrum,Phumi_Svay_Chrum
102.9060648,12.79292808,0,Cambodia,3,Battambang,Battambang_1
107.8652847,12.796687,0,Vietnam,1,Sre Pok 4,Sre_Pok_4
107.829522,14.22741805,1998,Vietnam,36,Yali,Yali
102.7775958,16.37202787,,Thailand,37,Nam Ton,Nam_Ton